Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_UTN_TP4,Chrome 119.0.0.0,,,2023-11-19 18:34:24,2023-11-19 18:35:57,"1m - 33,109s",PASSED
,,,,,,,
Test Cases/login -logout,Chrome 119.0.0.0,,,2023-11-19 18:34:24,2023-11-19 18:34:41,"16,761s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 18:34:24,2023-11-19 18:34:33,"8,223s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 18:34:33,2023-11-19 18:34:36,"3,804s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 18:34:36,2023-11-19 18:34:38,"1,499s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 18:34:38,2023-11-19 18:34:39,"0,511s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:34:39,2023-11-19 18:34:39,"0,513s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 119.0.0.0,,,2023-11-19 18:34:39,2023-11-19 18:34:39,"0,461s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 119.0.0.0,,,2023-11-19 18:34:39,2023-11-19 18:34:40,"0,443s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 18:34:40,2023-11-19 18:34:41,"0,850s",PASSED
,,,,,,,
Test Cases/login no valido - clave en blanco,Chrome 119.0.0.0,,,2023-11-19 18:34:41,2023-11-19 18:34:49,"8,093s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 18:34:41,2023-11-19 18:34:43,"1,664s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 18:34:43,2023-11-19 18:34:46,"2,698s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 18:34:46,2023-11-19 18:34:47,"1,613s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:34:47,2023-11-19 18:34:48,"0,427s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:34:48,2023-11-19 18:34:48,"0,509s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 18:34:48,2023-11-19 18:34:49,"0,817s",PASSED
,,,,,,,
Test Cases/login no valido - clave erronea,Chrome 119.0.0.0,,,2023-11-19 18:34:49,2023-11-19 18:35:29,"39,763s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 18:34:49,2023-11-19 18:34:51,"1,585s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 18:34:51,2023-11-19 18:34:54,"3,184s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 18:34:54,2023-11-19 18:34:56,"2,275s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""aeHFOx8jV/A="")",Chrome 119.0.0.0,,,2023-11-19 18:34:56,2023-11-19 18:34:57,"0,418s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:34:57,2023-11-19 18:34:57,"0,382s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:34:57,2023-11-19 18:35:27,"30,171s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 18:35:27,2023-11-19 18:35:29,"1,385s",PASSED
,,,,,,,
Test Cases/login no Valido - usuario erroneo - verify Element no present,Chrome 119.0.0.0,,,2023-11-19 18:35:29,2023-11-19 18:35:39,"10,325s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 18:35:29,2023-11-19 18:35:31,"1,466s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 18:35:31,2023-11-19 18:35:34,"3,822s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 18:35:34,2023-11-19 18:35:37,"2,177s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 18:35:37,2023-11-19 18:35:37,"0,445s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:35:37,2023-11-19 18:35:37,"0,487s",PASSED
"verifyElementNotPresent(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""), 5)",Chrome 119.0.0.0,,,2023-11-19 18:35:37,2023-11-19 18:35:38,"0,543s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 18:35:38,2023-11-19 18:35:39,"1,018s",PASSED
,,,,,,,
Test Cases/login no Valido - usuario incorrecto,Chrome 119.0.0.0,,,2023-11-19 18:35:39,2023-11-19 18:35:47,"8,210s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 18:35:39,2023-11-19 18:35:41,"1,537s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 18:35:41,2023-11-19 18:35:44,"3,511s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user2"")",Chrome 119.0.0.0,,,2023-11-19 18:35:44,2023-11-19 18:35:46,"1,167s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 18:35:46,2023-11-19 18:35:46,"0,472s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:35:46,2023-11-19 18:35:46,"0,411s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 18:35:46,2023-11-19 18:35:47,"0,755s",PASSED
,,,,,,,
Test Cases/login Valido,Chrome 119.0.0.0,,,2023-11-19 18:35:47,2023-11-19 18:35:57,"9,507s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 18:35:48,2023-11-19 18:35:49,"1,547s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 18:35:49,2023-11-19 18:35:52,"2,684s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 18:35:52,2023-11-19 18:35:54,"2,379s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 18:35:54,2023-11-19 18:35:55,"0,455s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 18:35:55,2023-11-19 18:35:55,"0,411s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 18:35:55,2023-11-19 18:35:57,"1,676s",PASSED
